"filename", "language", "Kotlinscript", "Markdown", "YAML", "Properties", "Batch", "Dart", "JSON", "Swift", "Project.pbxproj", "C++", "XML", "Kotlin", "Gradle", "comment", "blank", "total"
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\README.md", "Markdown", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -23
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\analysis_options.yaml", "YAML", 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -4, -34
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45, -8, -11, -64
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, 0, 0, -49
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, -11, -1, -47
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\main\kotlin\com\example\connectgateapp\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -3, -6
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -4, -1, -8
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, -3, -19
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\gradle.properties", "Properties", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -2, -5, -29
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\app\build.gradle.kts", "Kotlinscript", -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -8, -48
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\app\src\main\kotlin\org\example\App.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, -3, -3, -16
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\app\src\test\kotlin\org\example\AppTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, -3, -3, -15
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\devtools_options.yaml", "YAML", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\gradle.properties", "Properties", 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -7
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\gradlew.bat", "Batch", 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, -30, -22, -93
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, -1, -27
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, -570, 0, 0, 0, 0, -31, -16, -617
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, -2, -4, -13
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -1, -24
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -1, -38
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -1, -27
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\GoogleService-Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, -32
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, -1, -50
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -7
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Admin_Main_Screen.dart", "Dart", 0, 0, 0, 0, 0, -81, 0, 0, 0, 0, 0, 0, 0, -10, -12, -103
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Answeared.Admin.dart", "Dart", 0, 0, 0, 0, 0, -289, 0, 0, 0, 0, 0, 0, 0, -10, -13, -312
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Login_Admin.dart", "Dart", 0, 0, 0, 0, 0, -392, 0, 0, 0, 0, 0, 0, 0, -18, -19, -429
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Profile_Admin.dart", "Dart", 0, 0, 0, 0, 0, -599, 0, 0, 0, 0, 0, 0, 0, -39, -22, -660
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\Question_Add.dart", "Dart", 0, 0, 0, 0, 0, -571, 0, 0, 0, 0, 0, 0, 0, -15, -29, -615
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\UsersGroupsCreate.dart", "Dart", 0, 0, 0, 0, 0, -675, 0, 0, 0, 0, 0, 0, 0, -33, -35, -743
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\about_admin.dart", "Dart", 0, 0, 0, 0, 0, -267, 0, 0, 0, 0, 0, 0, 0, -10, -11, -288
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Admin_Side\see_users_answers_admin.dart", "Dart", 0, 0, 0, 0, 0, -470, 0, 0, 0, 0, 0, 0, 0, -16, -40, -526
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\Splash_Screen.dart", "Dart", 0, 0, 0, 0, 0, -95, 0, 0, 0, 0, 0, 0, 0, -37, -12, -144
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\Answeared_User.dart", "Dart", 0, 0, 0, 0, 0, -117, 0, 0, 0, 0, 0, 0, 0, -15, -14, -146
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\Login_User.dart", "Dart", 0, 0, 0, 0, 0, -468, 0, 0, 0, 0, 0, 0, 0, -13, -16, -497
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\Open_Q_Page.dart", "Dart", 0, 0, 0, 0, 0, -340, 0, 0, 0, 0, 0, 0, 0, -23, -17, -380
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\Profile_User.dart", "Dart", 0, 0, 0, 0, 0, -573, 0, 0, 0, 0, 0, 0, 0, -31, -16, -620
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\Question_User.dart", "Dart", 0, 0, 0, 0, 0, -363, 0, 0, 0, 0, 0, 0, 0, -62, -26, -451
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\User_Main_Screen.dart", "Dart", 0, 0, 0, 0, 0, -81, 0, 0, 0, 0, 0, 0, 0, -9, -12, -102
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\about.dart", "Dart", 0, 0, 0, 0, 0, -268, 0, 0, 0, 0, 0, 0, 0, -11, -12, -291
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Screen\User_Side\see_users_answers.dart", "Dart", 0, 0, 0, 0, 0, -470, 0, 0, 0, 0, 0, 0, 0, -28, -35, -533
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Services\auth_services.dart", "Dart", 0, 0, 0, 0, 0, -324, 0, 0, 0, 0, 0, 0, 0, -20, -36, -380
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Services\group_services.dart", "Dart", 0, 0, 0, 0, 0, -131, 0, 0, 0, 0, 0, 0, 0, -13, -17, -161
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\Services\question_services.dart", "Dart", 0, 0, 0, 0, 0, -124, 0, 0, 0, 0, 0, 0, 0, -39, -14, -177
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\core\CeckForUpdate.dart", "Dart", 0, 0, 0, 0, 0, -98, 0, 0, 0, 0, 0, 0, 0, -3, -10, -111
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\core\Check internet.dart", "Dart", 0, 0, 0, 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, -1, -5, -59
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\core\MyImages.dart", "Dart", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -1, -2, -13
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\core\NoInternet.dart", "Dart", 0, 0, 0, 0, 0, -73, 0, 0, 0, 0, 0, 0, 0, -2, -5, -80
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, -12, -4, -71
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\language\MyControler.dart", "Dart", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, 0, -7, -7, -41
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\lib\language\text.dart", "Dart", 0, 0, 0, 0, 0, -447, 0, 0, 0, 0, 0, 0, 0, -5, -11, -463
